attack,cod,defense,form,hp,img,name,spatk,spdef,speed,total,type1,type2
49,001,49,,45,https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png,Bulbasaur,65,65,45,318,Grass,Poison
62,002,63,,60,https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png,Ivysaur,80,80,60,405,Grass,Poison
82,003,83,,80,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png,Venusaur,100,100,80,525,Grass,Poison
100,003,123,Mega Venusaur,80,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur-mega.png,Venusaur,122,120,80,625,Grass,Poison
52,004,43,,39,https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png,Charmander,60,50,65,309,Fire,
64,005,58,,58,https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png,Charmeleon,80,65,80,405,Fire,
84,006,78,,78,https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png,Charizard,109,85,100,534,Fire,Flying
130,006,111,Mega Charizard X,78,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-x.png,Charizard,130,85,100,634,Fire,Dragon
104,006,78,Mega Charizard Y,78,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-y.png,Charizard,159,115,100,634,Fire,Flying
48,007,65,,44,https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png,Squirtle,50,64,43,314,Water,
63,008,80,,59,https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png,Wartortle,65,80,58,405,Water,
83,009,100,,79,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png,Blastoise,85,105,78,530,Water,
103,009,120,Mega Blastoise,79,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise-mega.png,Blastoise,135,115,78,630,Water,
30,010,35,,45,https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png,Caterpie,20,20,45,195,Bug,
20,011,55,,50,https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png,Metapod,25,25,30,205,Bug,
45,012,50,,60,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png,Butterfree,90,80,70,395,Bug,Flying
35,013,30,,40,https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png,Weedle,20,20,50,195,Bug,Poison
25,014,50,,45,https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png,Kakuna,25,25,35,205,Bug,Poison
90,015,40,,65,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png,Beedrill,45,80,75,395,Bug,Poison
150,015,40,Mega Beedrill,65,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill-mega.png,Beedrill,15,80,145,495,Bug,Poison
45,016,40,,40,https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png,Pidgey,35,35,56,251,Normal,Flying
60,017,55,,63,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png,Pidgeotto,50,50,71,349,Normal,Flying
80,018,75,,83,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png,Pidgeot,70,70,101,479,Normal,Flying
80,018,80,Mega Pidgeot,83,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot-mega.png,Pidgeot,135,80,121,579,Normal,Flying
56,019,35,,30,https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png,Rattata,25,35,72,253,Normal,
56,019,35,Alolan Rattata,30,https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png,Rattata,25,35,72,253,Dark,Normal
81,020,60,,55,https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png,Raticate,50,70,97,413,Normal,
71,020,70,Alolan Raticate,75,https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png,Raticate,40,80,77,413,Dark,Normal
60,021,30,,40,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png,Spearow,31,31,70,262,Normal,Flying
90,022,65,,65,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png,Fearow,61,61,100,442,Normal,Flying
60,023,44,,35,https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png,Ekans,40,54,55,288,Poison,
95,024,69,,60,https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png,Arbok,65,79,80,448,Poison,
55,025,40,,35,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png,Pikachu,50,50,90,320,Electric,
80,025,50,Partner Pikachu,45,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu-lets-go.png,Pikachu,75,60,120,430,Electric,
90,026,55,,60,https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png,Raichu,90,80,110,485,Electric,
85,026,50,Alolan Raichu,60,https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png,Raichu,95,85,110,485,Electric,Psychic
75,027,85,,50,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png,Sandshrew,20,30,40,300,Ground,
75,027,90,Alolan Sandshrew,50,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png,Sandshrew,10,35,40,300,Ice,Steel
100,028,110,,75,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png,Sandslash,45,55,65,450,Ground,
100,028,120,Alolan Sandslash,75,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png,Sandslash,25,65,65,450,Ice,Steel
47,029,52,,55,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png,Nidoran♀,40,40,41,275,Poison,
62,030,67,,70,https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png,Nidorina,55,55,56,365,Poison,
92,031,87,,90,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png,Nidoqueen,75,85,76,505,Poison,Ground
57,032,40,,46,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png,Nidoran♂,40,40,50,273,Poison,
72,033,57,,61,https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png,Nidorino,55,55,65,365,Poison,
102,034,77,,81,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png,Nidoking,85,75,85,505,Poison,Ground
45,035,48,,70,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png,Clefairy,60,65,35,323,Fairy,
70,036,73,,95,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png,Clefable,95,90,60,483,Fairy,
41,037,40,,38,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png,Vulpix,50,65,65,299,Fire,
41,037,40,Alolan Vulpix,38,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png,Vulpix,50,65,65,299,Ice,
76,038,75,,73,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png,Ninetales,81,100,100,505,Fire,
67,038,75,Alolan Ninetales,73,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png,Ninetales,81,100,109,505,Ice,Fairy
45,039,20,,115,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png,Jigglypuff,45,25,20,270,Normal,Fairy
70,040,45,,140,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png,Wigglytuff,85,50,45,435,Normal,Fairy
45,041,35,,40,https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png,Zubat,30,40,55,245,Poison,Flying
80,042,70,,75,https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png,Golbat,65,75,90,455,Poison,Flying
50,043,55,,45,https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png,Oddish,75,65,30,320,Grass,Poison
65,044,70,,60,https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png,Gloom,85,75,40,395,Grass,Poison
80,045,85,,75,https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png,Vileplume,110,90,50,490,Grass,Poison
70,046,55,,35,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png,Paras,45,55,25,285,Bug,Grass
95,047,80,,60,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png,Parasect,60,80,30,405,Bug,Grass
55,048,50,,60,https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png,Venonat,40,55,45,305,Bug,Poison
65,049,60,,70,https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png,Venomoth,90,75,90,450,Bug,Poison
55,050,25,,10,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png,Diglett,35,45,95,265,Ground,
55,050,30,Alolan Diglett,10,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png,Diglett,35,45,90,265,Ground,Steel
100,051,50,,35,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png,Dugtrio,50,70,120,425,Ground,
100,051,60,Alolan Dugtrio,35,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png,Dugtrio,50,70,110,425,Ground,Steel
45,052,35,,40,https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png,Meowth,40,40,90,290,Normal,
35,052,35,Alolan Meowth,40,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png,Meowth,50,40,90,290,Dark,
65,052,55,Galarian Meowth,50,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-galarian.png,Meowth,40,40,40,290,Steel,
70,053,60,,65,https://img.pokemondb.net/sprites/sword-shield/icon/persian.png,Persian,65,65,115,440,Normal,
60,053,60,Alolan Persian,65,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png,Persian,75,65,115,440,Dark,
52,054,48,,50,https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png,Psyduck,65,50,55,320,Water,
82,055,78,,80,https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png,Golduck,95,80,85,500,Water,
80,056,35,,40,https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png,Mankey,35,45,70,305,Fighting,
105,057,60,,65,https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png,Primeape,60,70,95,455,Fighting,
70,058,45,,55,https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png,Growlithe,70,50,60,350,Fire,
110,059,80,,90,https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png,Arcanine,100,80,95,555,Fire,
50,060,40,,40,https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png,Poliwag,40,40,90,300,Water,
65,061,65,,65,https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png,Poliwhirl,50,50,90,385,Water,
95,062,95,,90,https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png,Poliwrath,70,90,70,510,Water,Fighting
20,063,15,,25,https://img.pokemondb.net/sprites/sword-shield/icon/abra.png,Abra,105,55,90,310,Psychic,
35,064,30,,40,https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png,Kadabra,120,70,105,400,Psychic,
50,065,45,,55,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png,Alakazam,135,95,120,500,Psychic,
50,065,65,Mega Alakazam,55,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam-mega.png,Alakazam,175,105,150,600,Psychic,
80,066,50,,70,https://img.pokemondb.net/sprites/sword-shield/icon/machop.png,Machop,35,35,35,305,Fighting,
100,067,70,,80,https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png,Machoke,50,60,45,405,Fighting,
130,068,80,,90,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png,Machamp,65,85,55,505,Fighting,
75,069,35,,50,https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png,Bellsprout,70,30,40,300,Grass,Poison
90,070,50,,65,https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png,Weepinbell,85,45,55,390,Grass,Poison
105,071,65,,80,https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png,Victreebel,100,70,70,490,Grass,Poison
40,072,35,,40,https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png,Tentacool,50,100,70,335,Water,Poison
70,073,65,,80,https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png,Tentacruel,80,120,100,515,Water,Poison
80,074,100,,40,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png,Geodude,30,30,20,300,Rock,Ground
80,074,100,Alolan Geodude,40,https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png,Geodude,30,30,20,300,Rock,Electric
95,075,115,,55,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png,Graveler,45,45,35,390,Rock,Ground
95,075,115,Alolan Graveler,55,https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png,Graveler,45,45,35,390,Rock,Electric
120,076,130,,80,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png,Golem,55,65,45,495,Rock,Ground
120,076,130,Alolan Golem,80,https://img.pokemondb.net/sprites/sword-shield/icon/golem-alolan.png,Golem,55,65,45,495,Rock,Electric
85,077,55,,50,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png,Ponyta,65,65,90,410,Fire,
85,077,55,Galarian Ponyta,50,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta-galarian.png,Ponyta,65,65,90,410,Psychic,
100,078,70,,65,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png,Rapidash,80,80,105,500,Fire,
100,078,70,Galarian Rapidash,65,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash-galarian.png,Rapidash,80,80,105,500,Psychic,Fairy
65,079,65,,90,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png,Slowpoke,40,40,15,315,Water,Psychic
65,079,65,Galarian Slowpoke,90,,Slowpoke,40,40,15,315,Psychic,
75,080,110,,95,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png,Slowbro,100,80,30,490,Water,Psychic
75,080,180,Mega Slowbro,95,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-mega.png,Slowbro,130,80,30,590,Water,Psychic
100,080,95,Galarian Slowbro,95,,Slowbro,100,70,30,490,Poison,Psychic
35,081,70,,25,https://img.pokemondb.net/sprites/sword-shield/icon/magnemite.png,Magnemite,95,55,45,325,Electric,Steel
60,082,95,,50,https://img.pokemondb.net/sprites/sword-shield/icon/magneton.png,Magneton,120,70,70,465,Electric,Steel
90,083,55,,52,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png,Farfetch'd,58,62,60,377,Normal,Flying
95,083,55,Galarian Farfetch'd,52,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd-galarian.png,Farfetch'd,58,62,55,377,Fighting,
85,084,45,,35,https://img.pokemondb.net/sprites/sword-shield/icon/doduo.png,Doduo,35,35,75,310,Normal,Flying
110,085,70,,60,https://img.pokemondb.net/sprites/sword-shield/icon/dodrio.png,Dodrio,60,60,110,470,Normal,Flying
45,086,55,,65,https://img.pokemondb.net/sprites/sword-shield/icon/seel.png,Seel,45,70,45,325,Water,
70,087,80,,90,https://img.pokemondb.net/sprites/sword-shield/icon/dewgong.png,Dewgong,70,95,70,475,Water,Ice
80,088,50,,80,https://img.pokemondb.net/sprites/sword-shield/icon/grimer.png,Grimer,40,50,25,325,Poison,
80,088,50,Alolan Grimer,80,https://img.pokemondb.net/sprites/sword-shield/icon/grimer-alolan.png,Grimer,40,50,25,325,Poison,Dark
105,089,75,,105,https://img.pokemondb.net/sprites/sword-shield/icon/muk.png,Muk,65,100,50,500,Poison,
105,089,75,Alolan Muk,105,https://img.pokemondb.net/sprites/sword-shield/icon/muk-alolan.png,Muk,65,100,50,500,Poison,Dark
65,090,100,,30,https://img.pokemondb.net/sprites/sword-shield/icon/shellder.png,Shellder,45,25,40,305,Water,
95,091,180,,50,https://img.pokemondb.net/sprites/sword-shield/icon/cloyster.png,Cloyster,85,45,70,525,Water,Ice
35,092,30,,30,https://img.pokemondb.net/sprites/sword-shield/icon/gastly.png,Gastly,100,35,80,310,Ghost,Poison
50,093,45,,45,https://img.pokemondb.net/sprites/sword-shield/icon/haunter.png,Haunter,115,55,95,405,Ghost,Poison
65,094,60,,60,https://img.pokemondb.net/sprites/sword-shield/icon/gengar.png,Gengar,130,75,110,500,Ghost,Poison
65,094,80,Mega Gengar,60,https://img.pokemondb.net/sprites/sword-shield/icon/gengar-mega.png,Gengar,170,95,130,600,Ghost,Poison
45,095,160,,35,https://img.pokemondb.net/sprites/sword-shield/icon/onix.png,Onix,30,45,70,385,Rock,Ground
48,096,45,,60,https://img.pokemondb.net/sprites/sword-shield/icon/drowzee.png,Drowzee,43,90,42,328,Psychic,
73,097,70,,85,https://img.pokemondb.net/sprites/sword-shield/icon/hypno.png,Hypno,73,115,67,483,Psychic,
105,098,90,,30,https://img.pokemondb.net/sprites/sword-shield/icon/krabby.png,Krabby,25,25,50,325,Water,
130,099,115,,55,https://img.pokemondb.net/sprites/sword-shield/icon/kingler.png,Kingler,50,50,75,475,Water,
30,100,50,,40,https://img.pokemondb.net/sprites/sword-shield/icon/voltorb.png,Voltorb,55,55,100,330,Electric,
50,101,70,,60,https://img.pokemondb.net/sprites/sword-shield/icon/electrode.png,Electrode,80,80,150,490,Electric,
40,102,80,,60,https://img.pokemondb.net/sprites/sword-shield/icon/exeggcute.png,Exeggcute,60,45,40,325,Grass,Psychic
95,103,85,,95,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor.png,Exeggutor,125,75,55,530,Grass,Psychic
105,103,85,Alolan Exeggutor,95,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor-alolan.png,Exeggutor,125,75,45,530,Grass,Dragon
50,104,95,,50,https://img.pokemondb.net/sprites/sword-shield/icon/cubone.png,Cubone,40,50,35,320,Ground,
80,105,110,,60,https://img.pokemondb.net/sprites/sword-shield/icon/marowak.png,Marowak,50,80,45,425,Ground,
80,105,110,Alolan Marowak,60,https://img.pokemondb.net/sprites/sword-shield/icon/marowak-alolan.png,Marowak,50,80,45,425,Fire,Ghost
120,106,53,,50,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonlee.png,Hitmonlee,35,110,87,455,Fighting,
105,107,79,,50,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonchan.png,Hitmonchan,35,110,76,455,Fighting,
55,108,75,,90,https://img.pokemondb.net/sprites/sword-shield/icon/lickitung.png,Lickitung,60,75,30,385,Normal,
65,109,95,,40,https://img.pokemondb.net/sprites/sword-shield/icon/koffing.png,Koffing,60,45,35,340,Poison,
90,110,120,,65,https://img.pokemondb.net/sprites/sword-shield/icon/weezing.png,Weezing,85,70,60,490,Poison,
90,110,120,Galarian Weezing,65,https://img.pokemondb.net/sprites/sword-shield/icon/weezing-galarian.png,Weezing,85,70,60,490,Poison,Fairy
85,111,95,,80,https://img.pokemondb.net/sprites/sword-shield/icon/rhyhorn.png,Rhyhorn,30,30,25,345,Ground,Rock
130,112,120,,105,https://img.pokemondb.net/sprites/sword-shield/icon/rhydon.png,Rhydon,45,45,40,485,Ground,Rock
5,113,5,,250,https://img.pokemondb.net/sprites/sword-shield/icon/chansey.png,Chansey,35,105,50,450,Normal,
55,114,115,,65,https://img.pokemondb.net/sprites/sword-shield/icon/tangela.png,Tangela,100,40,60,435,Grass,
95,115,80,,105,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan.png,Kangaskhan,40,80,90,490,Normal,
125,115,100,Mega Kangaskhan,105,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan-mega.png,Kangaskhan,60,100,100,590,Normal,
40,116,70,,30,https://img.pokemondb.net/sprites/sword-shield/icon/horsea.png,Horsea,70,25,60,295,Water,
65,117,95,,55,https://img.pokemondb.net/sprites/sword-shield/icon/seadra.png,Seadra,95,45,85,440,Water,
67,118,60,,45,https://img.pokemondb.net/sprites/sword-shield/icon/goldeen.png,Goldeen,35,50,63,320,Water,
92,119,65,,80,https://img.pokemondb.net/sprites/sword-shield/icon/seaking.png,Seaking,65,80,68,450,Water,
45,120,55,,30,https://img.pokemondb.net/sprites/sword-shield/icon/staryu.png,Staryu,70,55,85,340,Water,
75,121,85,,60,https://img.pokemondb.net/sprites/sword-shield/icon/starmie.png,Starmie,100,85,115,520,Water,Psychic
45,122,65,,40,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime.png,Mr. Mime,100,120,90,460,Psychic,Fairy
65,122,65,Galarian Mr. Mime,50,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime-galarian.png,Mr. Mime,90,90,100,460,Psychic,Ice
110,123,80,,70,https://img.pokemondb.net/sprites/sword-shield/icon/scyther.png,Scyther,55,80,105,500,Bug,Flying
50,124,35,,65,https://img.pokemondb.net/sprites/sword-shield/icon/jynx.png,Jynx,115,95,95,455,Ice,Psychic
83,125,57,,65,https://img.pokemondb.net/sprites/sword-shield/icon/electabuzz.png,Electabuzz,95,85,105,490,Electric,
95,126,57,,65,https://img.pokemondb.net/sprites/sword-shield/icon/magmar.png,Magmar,100,85,93,495,Fire,
125,127,100,,65,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir.png,Pinsir,55,70,85,500,Bug,
155,127,120,Mega Pinsir,65,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir-mega.png,Pinsir,65,90,105,600,Bug,Flying
100,128,95,,75,https://img.pokemondb.net/sprites/sword-shield/icon/tauros.png,Tauros,40,70,110,490,Normal,
10,129,55,,20,https://img.pokemondb.net/sprites/sword-shield/icon/magikarp.png,Magikarp,15,20,80,200,Water,
125,130,79,,95,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados.png,Gyarados,60,100,81,540,Water,Flying
155,130,109,Mega Gyarados,95,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados-mega.png,Gyarados,70,130,81,640,Water,Dark
85,131,80,,130,https://img.pokemondb.net/sprites/sword-shield/icon/lapras.png,Lapras,85,95,60,535,Water,Ice
48,132,48,,48,https://img.pokemondb.net/sprites/sword-shield/icon/ditto.png,Ditto,48,48,48,288,Normal,
55,133,50,,55,https://img.pokemondb.net/sprites/sword-shield/icon/eevee.png,Eevee,45,65,55,325,Normal,
75,133,70,Partner Eevee,65,https://img.pokemondb.net/sprites/sword-shield/icon/eevee-lets-go.png,Eevee,65,85,75,435,Normal,
65,134,60,,130,https://img.pokemondb.net/sprites/sword-shield/icon/vaporeon.png,Vaporeon,110,95,65,525,Water,
65,135,60,,65,https://img.pokemondb.net/sprites/sword-shield/icon/jolteon.png,Jolteon,110,95,130,525,Electric,
130,136,60,,65,https://img.pokemondb.net/sprites/sword-shield/icon/flareon.png,Flareon,95,110,65,525,Fire,
60,137,70,,65,https://img.pokemondb.net/sprites/sword-shield/icon/porygon.png,Porygon,85,75,40,395,Normal,
40,138,100,,35,https://img.pokemondb.net/sprites/sword-shield/icon/omanyte.png,Omanyte,90,55,35,355,Rock,Water
60,139,125,,70,https://img.pokemondb.net/sprites/sword-shield/icon/omastar.png,Omastar,115,70,55,495,Rock,Water
80,140,90,,30,https://img.pokemondb.net/sprites/sword-shield/icon/kabuto.png,Kabuto,55,45,55,355,Rock,Water
115,141,105,,60,https://img.pokemondb.net/sprites/sword-shield/icon/kabutops.png,Kabutops,65,70,80,495,Rock,Water
105,142,65,,80,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl.png,Aerodactyl,60,75,130,515,Rock,Flying
135,142,85,Mega Aerodactyl,80,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl-mega.png,Aerodactyl,70,95,150,615,Rock,Flying
110,143,65,,160,https://img.pokemondb.net/sprites/sword-shield/icon/snorlax.png,Snorlax,65,110,30,540,Normal,
85,144,100,,90,https://img.pokemondb.net/sprites/sword-shield/icon/articuno.png,Articuno,95,125,85,580,Ice,Flying
90,145,85,,90,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos.png,Zapdos,125,90,100,580,Electric,Flying
100,146,90,,90,https://img.pokemondb.net/sprites/sword-shield/icon/moltres.png,Moltres,125,85,90,580,Fire,Flying
64,147,45,,41,https://img.pokemondb.net/sprites/sword-shield/icon/dratini.png,Dratini,50,50,50,300,Dragon,
84,148,65,,61,https://img.pokemondb.net/sprites/sword-shield/icon/dragonair.png,Dragonair,70,70,70,420,Dragon,
