cod,name,generation,status,species,form,type1,type2,height_m,weight_kg,total,hp,attack,defense,spatk,spdef,speed,img
001,Bulbasaur,1,Normal,Seed Pokémon,,Grass,Poison,0.7,6.9,318,45,49,49,65,65,45,https://img.pokemondb.net/sprites/home/normal/bulbasaur.png
002,Ivysaur,1,Normal,Seed Pokémon,,Grass,Poison,1.0,13.0,405,60,62,63,80,80,60,https://img.pokemondb.net/sprites/home/normal/ivysaur.png
003,Venusaur,1,Normal,Seed Pokémon,,Grass,Poison,2.0,100.0,525,80,82,83,100,100,80,https://img.pokemondb.net/sprites/home/normal/venusaur.png
003,Venusaur,1,Normal,Seed Pokémon,Mega Venusaur,Grass,Poison,2.4,155.5,625,80,100,123,122,120,80,https://img.pokemondb.net/sprites/home/normal/venusaur-mega.png
004,Charmander,1,Normal,Lizard Pokémon,,Fire,,0.6,8.5,309,39,52,43,60,50,65,https://img.pokemondb.net/sprites/home/normal/charmander.png
005,Charmeleon,1,Normal,Flame Pokémon,,Fire,,1.1,19.0,405,58,64,58,80,65,80,https://img.pokemondb.net/sprites/home/normal/charmeleon.png
006,Charizard,1,Normal,Flame Pokémon,,Fire,Flying,1.7,90.5,534,78,84,78,109,85,100,https://img.pokemondb.net/sprites/home/normal/charizard.png
006,Charizard,1,Normal,Flame Pokémon,Mega Charizard X,Fire,Dragon,1.7,110.5,634,78,130,111,130,85,100,https://img.pokemondb.net/sprites/home/normal/charizard-mega-x.png
006,Charizard,1,Normal,Flame Pokémon,Mega Charizard Y,Fire,Flying,1.7,100.5,634,78,104,78,159,115,100,https://img.pokemondb.net/sprites/home/normal/charizard-mega-y.png
007,Squirtle,1,Normal,Tiny Turtle Pokémon,,Water,,0.5,9.0,314,44,48,65,50,64,43,https://img.pokemondb.net/sprites/home/normal/squirtle.png
008,Wartortle,1,Normal,Turtle Pokémon,,Water,,1.0,22.5,405,59,63,80,65,80,58,https://img.pokemondb.net/sprites/home/normal/wartortle.png
009,Blastoise,1,Normal,Shellfish Pokémon,,Water,,1.6,85.5,530,79,83,100,85,105,78,https://img.pokemondb.net/sprites/home/normal/blastoise.png
009,Blastoise,1,Normal,Shellfish Pokémon,Mega Blastoise,Water,,1.6,101.1,630,79,103,120,135,115,78,https://img.pokemondb.net/sprites/home/normal/blastoise-mega.png
010,Caterpie,1,Normal,Worm Pokémon,,Bug,,0.3,2.9,195,45,30,35,20,20,45,https://img.pokemondb.net/sprites/home/normal/caterpie.png
011,Metapod,1,Normal,Cocoon Pokémon,,Bug,,0.7,9.9,205,50,20,55,25,25,30,https://img.pokemondb.net/sprites/home/normal/metapod.png
012,Butterfree,1,Normal,Butterfly Pokémon,,Bug,Flying,1.1,32.0,395,60,45,50,90,80,70,https://img.pokemondb.net/sprites/home/normal/butterfree.png
013,Weedle,1,Normal,Hairy Bug Pokémon,,Bug,Poison,0.3,3.2,195,40,35,30,20,20,50,https://img.pokemondb.net/sprites/home/normal/weedle.png
014,Kakuna,1,Normal,Cocoon Pokémon,,Bug,Poison,0.6,10.0,205,45,25,50,25,25,35,https://img.pokemondb.net/sprites/home/normal/kakuna.png
015,Beedrill,1,Normal,Poison Bee Pokémon,,Bug,Poison,1.0,29.5,395,65,90,40,45,80,75,https://img.pokemondb.net/sprites/home/normal/beedrill.png
015,Beedrill,1,Normal,Poison Bee Pokémon,Mega Beedrill,Bug,Poison,1.4,40.5,495,65,150,40,15,80,145,https://img.pokemondb.net/sprites/home/normal/beedrill-mega.png
016,Pidgey,1,Normal,Tiny Bird Pokémon,,Normal,Flying,0.3,1.8,251,40,45,40,35,35,56,https://img.pokemondb.net/sprites/home/normal/pidgey.png
017,Pidgeotto,1,Normal,Bird Pokémon,,Normal,Flying,1.1,30.0,349,63,60,55,50,50,71,https://img.pokemondb.net/sprites/home/normal/pidgeotto.png
018,Pidgeot,1,Normal,Bird Pokémon,,Normal,Flying,1.5,39.5,479,83,80,75,70,70,101,https://img.pokemondb.net/sprites/home/normal/pidgeot.png
018,Pidgeot,1,Normal,Bird Pokémon,Mega Pidgeot,Normal,Flying,2.2,50.5,579,83,80,80,135,80,121,https://img.pokemondb.net/sprites/home/normal/pidgeot-mega.png
